Start time,End Time,Mission,Launch vehicle type,Description,Image
11 November 2013,2014,"Taobao's ""Online Pharmacy Pilot"" & The Rise of Early Gray Markets",,"Merchants bypassed platform audits using coded product names, making e-commerce platforms like Taobao the primary battleground for the trans community to source HRT medications. This gave rise to an increasingly sophisticated ""code-word purchasing"" network.",https://public.flourish.studio/uploads/5ee23762-ef8b-4d13-81e2-7876e3fa67f8.png
07 July 2016,,Ban on E-Commerce Pharmacy Pilots & Regulatory Backlash,,"Authorities suspended online third-party prescription drug sales, leading to widespread store closures on e-commerce platforms. The community was forced to turn to far more fragmented gray channels.",https://public.flourish.studio/uploads/ccc2f492-d02f-4a7d-b262-40974c8277a3.png
01 December 2019,,"Temporary ""Unban"" on Online Sales",,"Standard HRT medications were not included in the list of ""prohibited special-controlled drugs,"" obtaining HRT through online hospitals became exceptionally convenient for those without an existing prescription.",https://public.flourish.studio/uploads/05438173-1a89-467c-bdae-75eeac75ffdb.png
30 November 2022,,NMPA Explicitly Defines Scope of Prohibited Online Retail Drugs,,"Injectable estrogen medication were put under strict control, and the variety of available formulations and types of online HRT medications was drastically reduced.",https://public.flourish.studio/uploads/1b8d4240-956d-44ae-a8e7-d1aa286aca75.png
01 December 2022,,Full Tightening of Compliance Audits,,The loop of purchasing prescription drugs without a prior prescription was completely broken: individuals without an official diagnosis of gender dysphoria/transsexuality from a offline Grade 3A hospital could no longer buy prescription drugs online.,https://public.flourish.studio/uploads/f672d025-305e-4816-8a36-f317391fade4.png
07 September 2025,,NMPA Further Tightens Platform Compliance Standards,,"The possibility of internet hospitals using ""automated/AI electronic prescription generation"" was thoroughly shut down. HRT access shifted entirely back to offline Grade 3A hospital outpatient systems, placing trans individuals who lack family support, cannot secure an offline diagnosis, or live in medically underserved areas in unprecedented access hardship.",https://public.flourish.studio/uploads/3766b0ae-2057-4282-ae10-f60b8c12781d.png
